street,formula,pot_type,board_family,mv_cat,dv_cat,bet_size,n,n_huge,mean_loss,huge_loss,acc%,modal_fold%,modal_call%,modal_raise%
flop,v8a,MTT25,dynamic_2tone,top_pair,gutshot,—,72,11,0.164,0.59,9.7,0.0,9.7,90.3
flop,v9b,MTT25,dynamic_2tone,top_pair,gutshot,—,72,11,0.164,0.59,9.7,0.0,9.7,90.3
flop,v8a,MTT25,dynamic,top_pair,gutshot,—,72,12,0.173,0.587,5.6,0.0,5.6,94.4
flop,v9b,MTT25,dynamic,top_pair,gutshot,—,72,12,0.173,0.587,5.6,0.0,5.6,94.4
flop,v8a,MTT25,dynamic,top_pair,no_draw,—,190,13,0.069,0.575,77.4,0.0,77.4,22.6
flop,v9b,MTT25,dynamic,top_pair,no_draw,—,190,13,0.069,0.575,77.4,0.0,77.4,22.6
flop,v9b,MTT25,dry_high,low_pair,no_draw,—,90,33,0.48,0.566,0.0,10.0,90.0,0.0
flop,v8a,MTT25,dynamic_2tone,no_made_hand,oesd,—,465,8,0.033,0.554,71.4,14.2,71.4,14.4
flop,v8a,MTT25,dynamic_2tone,top_pair,no_draw,—,152,6,0.039,0.554,88.2,0.0,88.2,11.8
flop,v9b,MTT25,dynamic_2tone,no_made_hand,oesd,—,465,8,0.033,0.554,71.4,14.2,71.4,14.4
flop,v9b,MTT25,dynamic_2tone,top_pair,no_draw,—,152,6,0.039,0.554,88.2,0.0,88.2,11.8
flop,v9b,MTT25,dry_high,third_pair,no_draw,—,1251,8,0.112,0.517,6.6,0.0,93.4,6.6
flop,v8a,MTT50,dry_high,third_pair,no_draw,—,1251,68,1.774,2.063,0.2,0.2,91.8,8.0
flop,v8a,MTT50,low_dry,no_made_hand,onecard_bdfd,—,252,104,0.701,1.569,23.8,62.7,23.8,13.5
flop,v9b,MTT50,low_dry,no_made_hand,onecard_bdfd,—,252,104,0.701,1.569,23.8,62.7,23.8,13.5
flop,v8a,MTT50,low_dry,no_made_hand,twocards_bdfd,—,168,69,0.646,1.361,23.2,63.1,23.2,13.7
flop,v9b,MTT50,low_dry,no_made_hand,twocards_bdfd,—,168,69,0.646,1.361,23.2,63.1,23.2,13.7
flop,v8a,MTT50,dry_high,no_made_hand,twocards_bdfd,—,704,45,0.098,1.109,62.1,21.4,62.1,16.5
flop,v9b,MTT50,dry_high,no_made_hand,twocards_bdfd,—,704,45,0.098,1.109,62.1,21.4,62.1,16.5
flop,v8a,MTT50,dynamic,low_pair,no_draw,—,72,66,1.0,1.047,0.0,100.0,0.0,0.0
flop,v9b,MTT50,dynamic,low_pair,no_draw,—,72,66,1.0,1.047,0.0,100.0,0.0,0.0
flop,v8a,MTT50,low_dry,king_high,onecard_bdfd,—,96,16,0.226,1.013,57.3,34.4,57.3,8.3
flop,v9b,MTT50,low_dry,king_high,onecard_bdfd,—,96,16,0.226,1.013,57.3,34.4,57.3,8.3
flop,v8a,MTT50,dry_high,low_pair,no_draw,—,90,67,0.935,0.979,6.7,6.7,93.3,0.0
flop,v8a,MTT50,dynamic,no_made_hand,oesd,—,496,13,0.08,0.877,69.0,20.6,69.0,10.5
flop,v9b,MTT50,dynamic,no_made_hand,oesd,—,496,13,0.08,0.877,69.0,20.6,69.0,10.5
flop,v8a,MTT50,low_dry,ace_high,onecard_bdfd,—,96,9,0.118,0.87,75.0,21.9,75.0,3.1
flop,v9b,MTT50,low_dry,ace_high,onecard_bdfd,—,96,9,0.118,0.87,75.0,21.9,75.0,3.1
flop,v8a,MTT50,low_dry,top_pair,no_draw,—,360,10,0.054,0.806,71.4,0.0,71.4,28.6
flop,v9b,MTT50,low_dry,top_pair,no_draw,—,360,10,0.054,0.806,71.4,0.0,71.4,28.6
flop,v9b,MTT50,dry_high,low_pair,no_draw,—,90,67,0.663,0.78,0.0,6.7,93.3,0.0
flop,v9b,MTT50,dry_high,third_pair,no_draw,—,1251,68,0.111,0.754,8.0,0.2,91.8,8.0
flop,v8a,MTT50,dynamic,third_pair,no_draw,—,190,10,0.124,0.746,21.1,78.9,21.1,0.0
flop,v9b,MTT50,dynamic,third_pair,no_draw,—,190,10,0.124,0.746,21.1,78.9,21.1,0.0
flop,v8a,MTT50,low_dry,king_high,twocards_bdfd,—,64,9,0.134,0.676,68.8,31.2,68.8,0.0
flop,v9b,MTT50,low_dry,king_high,twocards_bdfd,—,64,9,0.134,0.676,68.8,31.2,68.8,0.0
flop,v8a,MTT50,dynamic,second_pair,no_draw,—,190,10,0.055,0.639,66.3,27.9,66.3,5.8
flop,v9b,MTT50,dynamic,second_pair,no_draw,—,190,10,0.055,0.639,66.3,27.9,66.3,5.8
flop,v8a,MTT50,dynamic_2tone,no_made_hand,oesd,—,465,30,0.065,0.635,69.5,15.9,69.5,14.6
flop,v9b,MTT50,dynamic_2tone,no_made_hand,oesd,—,465,30,0.065,0.635,69.5,15.9,69.5,14.6
flop,v8a,MTT50,dry_high,no_made_hand,onecard_bdfd,—,1056,53,0.113,0.542,39.1,51.7,39.1,9.2
flop,v9b,MTT50,dry_high,no_made_hand,onecard_bdfd,—,1056,53,0.113,0.542,39.1,51.7,39.1,9.2
river,v14,MTT50,dynamic,two_pair,no_draw,allin,124,88,14.311,20.109,33.9,33.9,66.1,0.0
river,v14,MTT50,dynamic,straight,no_draw,med_100p,393,181,0.745,1.55,59.3,0.0,59.3,40.7
river,v15,MTT50,dynamic,straight,no_draw,med_100p,393,181,0.745,1.55,59.3,0.0,59.3,40.7
river,v14,MTT50,dynamic,second_pair,no_draw,med_100p,263,126,0.504,0.886,34.2,34.2,65.8,0.0
river,v15,MTT50,dynamic,second_pair,no_draw,med_100p,263,126,0.504,0.886,34.2,34.2,65.8,0.0
river,v14,MTT50,dry_high,second_pair,no_draw,allin,542,337,0.474,0.719,52.0,52.0,48.0,0.0
river,v15,MTT50,dry_high,second_pair,no_draw,allin,542,337,0.474,0.719,52.0,52.0,48.0,0.0
river,v15,MTT50,dynamic,top_pair,no_draw,allin,156,106,0.46,0.649,61.5,61.5,38.5,0.0
river,v14,MTT50,dynamic,straight,no_draw,allin,345,328,0.502,0.525,73.9,14.8,85.2,0.0
river,v15,MTT50,dynamic,straight,no_draw,allin,345,328,0.502,0.525,73.9,14.8,85.2,0.0
river,v14,MTT50,dry_high,low_pair,no_draw,allin,537,289,0.334,0.507,51.8,51.8,48.2,0.0
river,v15,MTT50,dry_high,low_pair,no_draw,allin,537,289,0.334,0.507,51.8,51.8,48.2,0.0
river,v14,MTT50,dry_high,top_pair,no_draw,allin,228,175,0.386,0.468,59.2,59.2,40.8,0.0
river,v15,MTT50,dry_high,top_pair,no_draw,allin,228,175,0.386,0.468,59.2,59.2,40.8,0.0
river,v14,MTT50,dry_high,third_pair,no_draw,med_100p,111,50,0.252,0.432,57.7,57.7,10.8,31.5
river,v15,MTT50,dry_high,third_pair,no_draw,med_100p,111,50,0.252,0.432,57.7,57.7,10.8,31.5
river,v14,MTT50,dynamic,top_pair,no_draw,allin,156,106,0.318,0.421,53.8,61.5,38.5,0.0
river,v14,MTT50,dynamic,two_pair,no_draw,med_100p,69,12,0.181,0.412,60.9,60.9,39.1,0.0
river,v15,MTT50,dynamic,two_pair,no_draw,med_100p,69,12,0.181,0.412,60.9,60.9,39.1,0.0
turn,v10,MTT50,dynamic,low_pair,oesd,other,78,15,1.02,1.905,42.3,42.3,57.7,0.0
turn,v10,MTT50,dynamic,straight,no_draw,other,476,48,0.168,1.405,63.9,0.0,63.9,36.1
turn,v10,MTT50,dry_high,no_made_hand,oesd,other,271,78,0.64,1.321,11.4,46.5,11.4,42.1
turn,v10,MTT50,dry_high,set,no_draw,other,63,28,0.626,1.141,3.2,0.0,3.2,96.8
turn,v10,MTT50,dry_high,no_made_hand,flush_draw,other,280,47,0.606,1.026,15.7,53.2,15.7,31.1
turn,v10,MTT50,dynamic,third_pair,gutshot,other,107,72,1.215,0.803,33.6,33.6,66.4,0.0
turn,v10,MTT50,dry_high,no_made_hand,combo_draw,other,65,16,0.236,0.702,44.6,0.0,44.6,55.4
turn,v10,MTT50,dry_high,third_pair,no_draw,other,1476,286,0.181,0.679,61.7,61.7,36.9,1.4
turn,v10,MTT50,dynamic,two_pair,no_draw,other,159,23,0.078,0.467,81.8,0.0,81.8,18.2
flop,v8a,other,dry_high,no_made_hand,twocards_bdfd,—,167,53,0.948,2.724,10.2,86.2,10.2,3.6
flop,v8a,other,dry_high,king_high,twocards_bdfd,—,52,7,0.239,1.419,30.8,51.9,30.8,17.3
flop,v8a,other,dry_high,ace_high,twocards_bdfd,—,77,7,0.103,0.912,42.9,29.9,42.9,27.3
flop,v8a,other,dry_high,second_pair,no_draw,—,66,6,0.195,0.552,31.8,53.0,31.8,15.2
flop,v9b,other,dry_high,second_pair,no_draw,—,66,6,0.195,0.552,31.8,53.0,31.8,15.2
