probe_id,purpose,flop,scenario_type,category,boundary_type,n_drill_cards,action_type,action_name,betsize,betsize_by_pot,total_frequency,total_ev,total_combos,is_allin
bound_kskd9c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,kskd9c,SRP_flop+3BP+4BP,paired_high_connector,paired boundary,0,CHECK,CHECK,0,,0.9838,0.0,1156.9229278564453,False
bound_kskd9c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,kskd9c,SRP_flop+3BP+4BP,paired_high_connector,paired boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0162,0.0,19.077067762613297,False
bound_kskd9c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,kskd9c,SRP_flop+3BP+4BP,paired_high_connector,paired boundary,0,CHECK,CHECK,0,,0.9838,0.0,1156.9229278564453,False
bound_kskd9c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,kskd9c,SRP_flop+3BP+4BP,paired_high_connector,paired boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0162,0.0,19.077067762613297,False
drill_8s5d3c_SRP_flop_btn_v_bb,drill_audit,8s5d3c,SRP_flop,,,1,CHECK,CHECK,0,,0.8945,0.0,1051.9486327171326,False
drill_8s5d3c_SRP_flop_btn_v_bb,drill_audit,8s5d3c,SRP_flop,,,1,RAISE,BET,6.5,1.140350877192982456140350877,0.1055,0.0,124.05136728286743,False
drill_9s8d7c_SRP_flop_btn_v_bb,drill_audit,9s8d7c,SRP_flop,,,3,CHECK,CHECK,0,,0.9401,0.0,1105.591332435608,False
drill_9s8d7c_SRP_flop_btn_v_bb,drill_audit,9s8d7c,SRP_flop,,,3,RAISE,BET,6.5,1.140350877192982456140350877,0.0599,0.0,70.40870261192322,False
drill_9s8d7c_SRP_turn_btn_v_bb,drill_audit,9s8d7c,SRP_turn,,,2,CHECK,CHECK,0,,0.9401,0.0,1105.591332435608,False
drill_9s8d7c_SRP_turn_btn_v_bb,drill_audit,9s8d7c,SRP_turn,,,2,RAISE,BET,6.5,1.140350877192982456140350877,0.0599,0.0,70.40870261192322,False
drill_AsTd4c_SRP_flop_btn_v_bb,drill_audit,AsTd4c,SRP_flop,,,1,CHECK,CHECK,0,,0.9621,0.0,1131.3829507827759,False
drill_AsTd4c_SRP_flop_btn_v_bb,drill_audit,AsTd4c,SRP_flop,,,1,RAISE,BET,6.5,1.140350877192982456140350877,0.0379,0.0,44.617022931575775,False
drill_Js7s3h_SRP_river_btn_v_bb,drill_audit,Js7s3h,SRP_river,,,2,CHECK,CHECK,0,,0.9668,0.0,1136.99476146698,False
drill_Js7s3h_SRP_river_btn_v_bb,drill_audit,Js7s3h,SRP_river,,,2,RAISE,BET,6.5,1.140350877192982456140350877,0.0332,0.0,39.005216628313065,False
drill_JsTs4s_SRP_flop_btn_v_bb,drill_audit,JsTs4s,SRP_flop,,,3,CHECK,CHECK,0,,0.9917,0.0,1166.195803642273,False
drill_JsTs4s_SRP_flop_btn_v_bb,drill_audit,JsTs4s,SRP_flop,,,3,RAISE,BET,6.5,1.140350877192982456140350877,0.0083,0.0,9.804221548140049,False
drill_KsKd4c_SRP_flop_btn_v_bb,drill_audit,KsKd4c,SRP_flop,,,1,CHECK,CHECK,0,,0.9767,0.0,1148.6435794830322,False
drill_KsKd4c_SRP_flop_btn_v_bb,drill_audit,KsKd4c,SRP_flop,,,1,RAISE,BET,6.5,1.140350877192982456140350877,0.0233,0.0,27.356394231319427,False
drill_QhJd9c_SRP_flop_btn_v_bb,drill_audit,QhJd9c,SRP_flop,,,1,CHECK,CHECK,0,,0.9804,0.0,1152.9204998016357,False
drill_QhJd9c_SRP_flop_btn_v_bb,drill_audit,QhJd9c,SRP_flop,,,1,RAISE,BET,6.5,1.140350877192982456140350877,0.0196,0.0,23.079482674598694,False
