purpose,role,flop,probe_file,preflop,flop_actions_pre,action_type,action_name,betsize,betsize_by_pot,is_allin,total_frequency,total_ev,total_combos
boundary_or_bb_oop,BB,jsts4s,bound_jsts4s_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0083,0.0,9.804221548140049
boundary_or_bb_oop,BB,jsts4s,bound_jsts4s_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9917,0.0,1166.195803642273
boundary_or_bb_oop,BB,jsts4s,bound_jsts4s_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0083,0.0,9.804221548140049
boundary_or_bb_oop,BB,kh9c5d,bound_kh9c5d_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9508,0.0,1118.1646342277527
boundary_or_bb_oop,BB,kh9c5d,bound_kh9c5d_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0492,0.0,57.83539643883705
boundary_or_bb_oop,BB,kh9c5d,bound_kh9c5d_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9508,0.0,1118.1646342277527
boundary_or_bb_oop,BB,kh9c5d,bound_kh9c5d_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0492,0.0,57.83539643883705
boundary_or_bb_oop,BB,ks8d2c,bound_ks8d2c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9498,0.0,1116.921778678894
boundary_or_bb_oop,BB,ks8d2c,bound_ks8d2c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0502,0.0,59.07818627357483
boundary_or_bb_oop,BB,ks8d2c,bound_ks8d2c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9498,0.0,1116.921778678894
boundary_or_bb_oop,BB,ks8d2c,bound_ks8d2c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0502,0.0,59.07818627357483
boundary_or_bb_oop,BB,ks9d4c,bound_ks9d4c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9586,0.0,1127.3257083892822
boundary_or_bb_oop,BB,ks9d4c,bound_ks9d4c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0414,0.0,48.67426970601082
