equity_bucket,mv_simple,board_family,dv_cat,median,iqr,count,pred_band,confidence
trash_hands,no_made,dry_high,combo_draw,0.00065,0.11215,60,almost_check,MED
trash_hands,no_made,dry_high,flush_draw,0.0073,0.403875,364,almost_check,LOW
trash_hands,no_made,dry_high,gutshot,0.008150000000000001,0.484725,3804,almost_check,LOW
trash_hands,no_made,dry_high,no_draw,0.0114,0.558725,21290,almost_check,LOW
trash_hands,no_made,dry_high,oesd,0.017750000000000002,0.426625,742,almost_check,LOW
trash_hands,no_made,dry_high,twocards_bdfd,0.3941,0.695675,1620,lean_check,LOW
trash_hands,no_made,dynamic,flush_draw,0.0031,0.95485,59,almost_check,LOW
trash_hands,no_made,dynamic,gutshot,0.0125,0.5557500000000001,2915,almost_check,LOW
trash_hands,no_made,dynamic,no_draw,0.02785,0.740775,4790,almost_check,LOW
trash_hands,no_made,dynamic,oesd,0.0209,0.6067,2013,almost_check,LOW
trash_hands,no_made,dynamic,twocards_bdfd,0.5738000000000001,0.769925,470,pure_mix,LOW
trash_hands,no_made,dynamic_2tone,gutshot,0.5798,0.36819999999999997,37,pure_mix,LOW
trash_hands,no_made,low_dry,gutshot,0.1997,0.13790000000000002,137,almost_check,MED
trash_hands,no_made,low_dry,no_draw,0.18080000000000002,0.45899999999999996,302,almost_check,LOW
trash_hands,no_made,low_dry,twocards_bdfd,0.08065,0.492125,116,almost_check,LOW
trash_hands,no_made,monotone,combo_draw,0.0002,0.0017,165,almost_check,HIGH
trash_hands,no_made,monotone,flush_draw,0.001,0.0031,279,almost_check,HIGH
trash_hands,no_made,monotone,gutshot,0.0006,0.38780000000000003,532,almost_check,LOW
trash_hands,no_made,monotone,no_draw,0.0002,0.10445,1536,almost_check,MED
trash_hands,no_made,monotone,oesd,0.0002,0.1882,156,almost_check,MED
trash_hands,no_made,paired,flush_draw,0.0006,0.001325,92,almost_check,HIGH
trash_hands,no_made,paired,gutshot,0.0006,0.0006,172,almost_check,HIGH
trash_hands,no_made,paired,no_draw,0.0006,0.28455,2987,almost_check,MED
trash_hands,no_made,paired,oesd,0.0011,0.0051,47,almost_check,HIGH
trash_hands,no_made,paired,twocards_bdfd,0.0025,0.7139,583,almost_check,LOW
trash_hands,overpair,dynamic,no_draw,0.11445,0.88505,96,almost_check,LOW
trash_hands,second_pair,dry_high,no_draw,0.0024,0.4868,1705,almost_check,LOW
trash_hands,second_pair,dry_high,twocards_bdfd,0.21765,0.2857,236,lean_check,MED
trash_hands,second_pair,dynamic,gutshot,0.0009,0.52785,98,almost_check,LOW
trash_hands,second_pair,dynamic,no_draw,0.0764,0.97465,867,almost_check,LOW
trash_hands,second_pair,dynamic,oesd,0.0041,0.9502,37,almost_check,LOW
trash_hands,second_pair,dynamic,twocards_bdfd,0.1211,0.47289999999999993,89,almost_check,LOW
trash_hands,second_pair,low_dry,no_draw,0.2514,0.28300000000000003,41,lean_check,MED
trash_hands,second_pair,low_dry,twocards_bdfd,0.1912,0.1541,73,almost_check,MED
trash_hands,second_pair,monotone,no_draw,0.0004,0.0004999999999999999,322,almost_check,HIGH
trash_hands,second_pair,paired,no_draw,0.00030000000000000003,0.00030000000000000003,232,almost_check,HIGH
trash_hands,third_pair,dry_high,gutshot,0.10845,0.82745,182,almost_check,LOW
trash_hands,third_pair,dry_high,no_draw,0.0003,0.016749999999999998,5150,almost_check,HIGH
trash_hands,third_pair,dry_high,twocards_bdfd,0.266,0.277175,158,lean_check,MED
trash_hands,third_pair,dynamic,gutshot,0.00555,0.168775,170,almost_check,MED
trash_hands,third_pair,dynamic,no_draw,0.0006,0.0345,1485,almost_check,HIGH
trash_hands,third_pair,dynamic,oesd,0.6052,0.7897,77,lean_bet,LOW
trash_hands,third_pair,dynamic,twocards_bdfd,0.06085,0.37965,92,almost_check,LOW
trash_hands,third_pair,low_dry,no_draw,0.037,0.11705000000000002,131,almost_check,MED
trash_hands,third_pair,low_dry,twocards_bdfd,0.20725,0.16745,34,lean_check,MED
trash_hands,third_pair,monotone,gutshot,0.0007,0.2198,30,almost_check,MED
trash_hands,third_pair,monotone,no_draw,0.0003,0.0015,962,almost_check,HIGH
trash_hands,third_pair,paired,no_draw,0.0001,0.0003,443,almost_check,HIGH
trash_hands,top_pair,dry_high,no_draw,0.05605,0.73475,438,almost_check,LOW
trash_hands,top_pair,dynamic,gutshot,0.0576,0.795525,38,almost_check,LOW
trash_hands,top_pair,dynamic,no_draw,0.3749,0.9878,437,lean_check,LOW
trash_hands,top_pair,dynamic,twocards_bdfd,0.04395,0.202825,36,almost_check,MED
trash_hands,top_pair,monotone,no_draw,0.0002,0.00019999999999999998,103,almost_check,HIGH
trash_hands,top_pair,paired,no_draw,0.0001,0.0,46,almost_check,HIGH
trash_hands,weak_pair,dry_high,gutshot,0.0007,0.38205,212,almost_check,LOW
trash_hands,weak_pair,dry_high,no_draw,0.0005,0.034499999999999996,5430,almost_check,HIGH
trash_hands,weak_pair,dry_high,oesd,0.001,0.0009749999999999998,32,almost_check,HIGH
trash_hands,weak_pair,dynamic,gutshot,0.0002,0.025925,472,almost_check,HIGH
trash_hands,weak_pair,dynamic,no_draw,0.0003,0.03215,4260,almost_check,HIGH
trash_hands,weak_pair,dynamic,oesd,0.049,0.48505,167,almost_check,LOW
trash_hands,weak_pair,dynamic_2tone,no_draw,0.008,0.1019,75,almost_check,MED
trash_hands,weak_pair,dynamic_2tone,onecard_bdfd,0.3188,0.6582,69,lean_check,LOW
trash_hands,weak_pair,low_dry,no_draw,0.24085,0.46825,66,lean_check,LOW
trash_hands,weak_pair,monotone,flush_draw,0.0009,0.0704,57,almost_check,HIGH
trash_hands,weak_pair,monotone,no_draw,0.0006,0.0991,483,almost_check,HIGH
trash_hands,weak_pair,paired,no_draw,0.0001,0.0001,126,almost_check,HIGH
weak_hands,2P_plus,dynamic,no_draw,0.0001,0.01025,498,almost_check,HIGH
weak_hands,2P_plus,monotone,no_draw,0.0001,0.0001,197,almost_check,HIGH
weak_hands,2P_plus,paired,no_draw,0.0014,0.0011,50,almost_check,HIGH
weak_hands,ace_high,dry_high,gutshot,0.0057,0.44362500000000005,304,almost_check,LOW
weak_hands,ace_high,dry_high,no_draw,0.3972,0.6538999999999999,1468,lean_check,LOW
weak_hands,ace_high,dry_high,nut_flush_draw,0.0111,0.9755,85,almost_check,LOW
weak_hands,ace_high,dry_high,onecard_bdfd,0.534,0.5828,219,pure_mix,LOW
weak_hands,ace_high,dry_high,twocards_bdfd,0.26975,0.5498000000000001,748,lean_check,LOW
weak_hands,ace_high,dynamic,gutshot,0.44455,0.682725,1012,pure_mix,LOW
weak_hands,ace_high,dynamic,no_draw,0.1667,0.4249,549,almost_check,LOW
weak_hands,ace_high,dynamic,oesd,0.3963,0.5371250000000001,368,lean_check,LOW
weak_hands,ace_high,dynamic,twocards_bdfd,0.0129,0.14325,131,almost_check,MED
weak_hands,ace_high,dynamic_2tone,gutshot,0.5106,0.36489999999999995,70,pure_mix,LOW
weak_hands,ace_high,dynamic_2tone,oesd,0.5007,0.479,87,pure_mix,LOW
weak_hands,ace_high,low_dry,no_draw,0.1619,0.43834999999999996,307,almost_check,LOW
weak_hands,ace_high,low_dry,twocards_bdfd,0.2095,0.6203,81,lean_check,LOW
weak_hands,ace_high,monotone,flush_draw,0.0642,0.4264,146,almost_check,LOW
weak_hands,ace_high,monotone,gutshot,0.1346,0.18330000000000002,63,almost_check,MED
weak_hands,ace_high,monotone,nut_flush_draw,0.6277,0.9318,65,lean_bet,LOW
