equity_bucket,mv_simple,board_family,dv_cat,median,count,q25,q75,iqr,pred_3,confidence
trash_hands,no_made,paired,no_draw,0.0006,2987,0.0002,0.28475,0.28455,LOW,MED
trash_hands,no_made,paired,oesd,0.0011,47,0.0005,0.0056,0.0051,LOW,HIGH
trash_hands,no_made,paired,twocards_bdfd,0.0025,583,0.0002,0.7141,0.7139,LOW,LOW
trash_hands,overpair,dynamic,no_draw,0.11445,96,0.000575,0.885625,0.88505,LOW,LOW
trash_hands,second_pair,dry_high,no_draw,0.0024,1705,0.0001,0.4869,0.4868,LOW,LOW
trash_hands,second_pair,dry_high,twocards_bdfd,0.21765,236,0.096875,0.382575,0.2857,LOW,MED
trash_hands,second_pair,dynamic,gutshot,0.0009,98,0.0001,0.52795,0.52785,LOW,LOW
trash_hands,second_pair,dynamic,no_draw,0.0764,867,0.0001,0.97475,0.97465,LOW,LOW
trash_hands,second_pair,dynamic,oesd,0.0041,37,0.0001,0.9503,0.9502,LOW,LOW
trash_hands,second_pair,dynamic,twocards_bdfd,0.1211,89,0.0286,0.5015,0.47289999999999993,LOW,LOW
trash_hands,second_pair,low_dry,no_draw,0.2514,41,0.1317,0.4147,0.28300000000000003,MIX,MED
trash_hands,second_pair,low_dry,twocards_bdfd,0.1912,73,0.166,0.3201,0.1541,LOW,MED
trash_hands,second_pair,monotone,no_draw,0.0004,322,0.0001,0.0006,0.0004999999999999999,LOW,HIGH
trash_hands,second_pair,paired,no_draw,0.00030000000000000003,232,0.0001,0.0004,0.00030000000000000003,LOW,HIGH
trash_hands,third_pair,dry_high,gutshot,0.10845,182,0.0001,0.82755,0.82745,LOW,LOW
trash_hands,third_pair,dry_high,no_draw,0.0003,5150,0.0001,0.016849999999999997,0.016749999999999998,LOW,HIGH
trash_hands,third_pair,dry_high,twocards_bdfd,0.266,158,0.1163,0.393475,0.277175,MIX,MED
trash_hands,third_pair,dynamic,gutshot,0.00555,170,0.0001,0.168875,0.168775,LOW,MED
trash_hands,third_pair,dynamic,no_draw,0.0006,1485,0.0,0.0345,0.0345,LOW,HIGH
trash_hands,third_pair,dynamic,oesd,0.6052,77,0.008,0.7977,0.7897,MIX,LOW
trash_hands,third_pair,dynamic,twocards_bdfd,0.06085,92,0.023375,0.40302499999999997,0.37965,LOW,LOW
trash_hands,third_pair,low_dry,no_draw,0.037,131,0.01165,0.1287,0.11705000000000002,LOW,MED
trash_hands,third_pair,low_dry,twocards_bdfd,0.20725,34,0.11370000000000001,0.28115,0.16745,LOW,MED
