spot_id,n,primary_size_pot,board_family,street,family,low_bet_freq,mid_bet_freq,high_bet_freq,polar_score,linear_score,spot_type,size_bucket
CO_BB_765_rain,2828,0.336,dynamic,flop,,0.42561596045197736,0.2591610630842526,0.4942206506364922,0.16645489736772479,0.06860469018451482,polarized,small (≤45%)
CO_BB_A72_fd,2813,0.336,dry_high,flop,,0.6546954609929078,0.5542993159151054,0.6770605974395447,0.10039614507780237,0.022365136446636957,polarized,small (≤45%)
CO_BB_A72_rain,2812,0.336,dry_high,flop,,0.6679960170697012,0.5346100847221325,0.6765180911680911,0.1333859323475688,0.008522074098389898,polarized,small (≤45%)
CO_BB_A94_fd,2796,0.336,dry_high,flop,,0.6456944206008584,0.5164257253218885,0.6598706303724928,0.1292686952789699,0.014176209771634474,polarized,small (≤45%)
CO_BB_A94_rain,2795,0.336,dry_high,flop,,0.644043347639485,0.5120619456366238,0.6619610315186247,0.13198140200286124,0.017917683879139723,polarized,small (≤45%)
CO_BB_AA7_rain,2780,0.336,paired,flop,,0.6526706474820144,0.49168962943438355,0.6734566282420749,0.16098101804763087,0.02078598076006044,polarized,small (≤45%)
CO_BB_J73_fd,2822,0.336,dry_high,flop,,0.5242201133144476,0.43072953016695803,0.5906160283687943,0.09349058314748959,0.06639591505434672,linear,small (≤45%)
CO_BB_J73_rain,2822,1.15,dry_high,flop,,0.4523495750708215,0.3529031513069335,0.5824283687943262,0.09944642376388801,0.13007879372350473,linear,big (≥85%)
CO_BB_K72_fd,2821,0.336,dry_high,flop,,0.6270683168316832,0.5264910239361702,0.657681134751773,0.10057729289551298,0.030612817920089852,polarized,small (≤45%)
CO_BB_K72_rain,2820,0.336,dry_high,flop,,0.6548317280453257,0.5152326241134751,0.6807919034090909,0.1395991039318506,0.02596017536376516,polarized,small (≤45%)
CO_BB_K98_fd,2796,1.15,dry_high,flop,,0.45697639484978536,0.3641207984876354,0.544245558739255,0.09285559636214996,0.08726916388946959,linear,big (≥85%)
CO_BB_K98_rain,2795,1.15,dry_high,flop,,0.5018467811158799,0.3796762196070405,0.5832684813753581,0.12217056150883937,0.08142170025947826,polarized,big (≥85%)
CO_BB_KJT_fd,2790,1.15,dynamic_2tone,flop,,0.2853723495702006,0.23263037454830976,0.38060129124820663,0.05274197502189082,0.09522894167800605,linear,big (≥85%)
CO_BB_KJT_rain,2790,1.15,dynamic,flop,,0.26769570815450644,0.2591558823529412,0.3848344332855093,0.00853982580156526,0.11713872513100287,linear,big (≥85%)
CO_BB_KK8_rain,2793,0.336,paired,flop,,0.5315074391988556,0.38435888252149,0.5904224928366761,0.1471485566773656,0.05891505363782057,polarized,small (≤45%)
CO_BB_Q83_fd,2818,0.336,dry_high,flop,,0.5851380141843971,0.49909100632547443,0.6269899290780142,0.08604700785892272,0.04185191489361706,linear,small (≤45%)
CO_BB_Q83_rain,2817,0.336,dry_high,flop,,0.603271671388102,0.49721405199308155,0.6404909090909091,0.10605761939502045,0.037219237702807106,polarized,small (≤45%)
CO_BB_T74_fd,2821,1.15,low_dry,flop,,0.4632582152974504,0.39180631317602366,0.5885187234042554,0.07145190212142677,0.12526050810680495,linear,big (≥85%)
CO_BB_T74_rain,2821,1.15,low_dry,flop,,0.37822138810198297,0.28364652482269503,0.48922382978723405,0.09457486327928794,0.11100244168525109,linear,big (≥85%)
CO_BB_T98_fd,2800,0.336,dynamic_2tone,flop,,0.436016,0.44485015009170575,0.6121636623748212,-0.00883415009170574,0.1761476623748212,linear,small (≤45%)
CO_BB_T98_rain,2799,1.15,dynamic,flop,,0.33120442857142857,0.2951482857142857,0.49915608011444923,0.03605614285714287,0.16795165154302066,linear,big (≥85%)
HJ_BB_742_fd,2713,1.156,low_dry,flop,,0.5400210603829161,0.4051445427728614,0.6898128318584071,0.1348765176100547,0.14979177147549105,polarized,big (≥85%)
HJ_BB_742_rain,2713,1.156,low_dry,flop,,0.5572398529411764,0.3826893459998344,0.6897513274336283,0.174550506941342,0.13251147449245193,polarized,big (≥85%)
HJ_BB_765_fd,2706,0.33,dynamic_2tone,flop,,0.415569616519174,0.3624010195306089,0.6087760355029586,0.05316859698856513,0.19320641898378454,linear,small (≤45%)
HJ_BB_765_rain,2705,1.156,dynamic,flop,,0.393285376661743,0.21660191027955578,0.4366686390532544,0.17668346638218724,0.04338326239151141,polarized,big (≥85%)
HJ_BB_A72_fd,2690,0.33,dry_high,flop,,0.628246884272997,0.5172615760946704,0.6538005943536404,0.11098530817832664,0.025553710080643333,polarized,small (≤45%)
HJ_BB_A72_rain,2689,0.33,dry_high,flop,,0.6377888888888888,0.5053976179281896,0.6592912071535023,0.13239127096069925,0.021502318264613463,polarized,small (≤45%)
HJ_BB_A94_fd,2687,0.33,dry_high,flop,,0.6361824404761904,0.4954539721895722,0.6467272321428572,0.14072846828661822,0.010544791666666775,polarized,small (≤45%)
HJ_BB_A94_rain,2686,0.33,dry_high,flop,,0.6329452380952381,0.488728912071535,0.6483078869047618,0.14421632602370305,0.01536264880952376,polarized,small (≤45%)
HJ_BB_AA7_rain,2664,0.33,paired,flop,,0.6459663663663664,0.4785158286847567,0.6654162406015037,0.16745053768160967,0.019449874235137332,polarized,small (≤45%)
HJ_BB_J73_fd,2697,1.156,dry_high,flop,,0.5309976296296296,0.45360151500164847,0.6163570579494799,0.07739611462798113,0.08535942831985033,linear,big (≥85%)
HJ_BB_J73_rain,2697,1.156,dry_high,flop,,0.46814118518518516,0.36248710440707765,0.5816020802377415,0.1056540807781075,0.11346089505255635,polarized,big (≥85%)
HJ_BB_K72_fd,2693,0.33,dry_high,flop,,0.5784513353115727,0.5007887072808321,0.6318766716196137,0.07766262803074053,0.05342533630804103,linear,small (≤45%)
HJ_BB_K72_rain,2693,0.33,dry_high,flop,,0.6378106824925817,0.5087809640825914,0.6814258543833581,0.12902971840999022,0.04361517189077646,polarized,small (≤45%)
HJ_BB_K98_fd,2685,1.156,dry_high,flop,,0.4554312035661218,0.3566117734724292,0.5393407462686567,0.0988194300936926,0.08390954270253487,linear,big (≥85%)
HJ_BB_K98_rain,2684,1.156,dry_high,flop,,0.5119002980625931,0.3721566373489694,0.5740192250372578,0.13974366071362365,0.0621189269746647,polarized,big (≥85%)
HJ_BB_KJT_fd,2668,1.156,dynamic_2tone,flop,,0.2539914670658683,0.20281214392803598,0.34426741741741745,0.0511793231378323,0.09027595035154917,linear,big (≥85%)
HJ_BB_KJT_rain,2668,1.156,dynamic,flop,,0.23849086826347307,0.2293995502238766,0.34715105105105104,0.00909131803959648,0.10866018278757797,linear,big (≥85%)
HJ_BB_KK8_rain,2672,0.33,paired,flop,,0.5144770958083833,0.37780469039499476,0.5765875562218891,0.13667240541338854,0.062110460413505764,polarized,small (≤45%)
HJ_BB_Q83_fd,2694,0.33,dry_high,flop,,0.5698555555555556,0.47876307578008914,0.6109472511144131,0.09109247977546642,0.0410916955588575,linear,small (≤45%)
HJ_BB_Q83_rain,2694,0.33,dry_high,flop,,0.5812841481481482,0.4765419950205193,0.6273467359050445,0.10474215312762891,0.04606258775689631,polarized,small (≤45%)
HJ_BB_T74_fd,2695,1.156,low_dry,flop,,0.46263540740740744,0.3923759487392031,0.5814835066864784,0.07025945866820432,0.11884809927907097,linear,big (≥85%)
HJ_BB_T74_rain,2695,1.156,low_dry,flop,,0.3789802962962963,0.28228938684132787,0.47939806835066867,0.09669090945496844,0.10041777205437236,linear,big (≥85%)
HJ_BB_T98_fd,2689,0.33,dynamic_2tone,flop,,0.43327072808320954,0.43158906847007006,0.5914363636363636,0.0016816596131394856,0.1581656355531541,linear,small (≤45%)
HJ_BB_T98_rain,2688,0.33,dynamic,flop,,0.3872178306092125,0.36234321265415215,0.5639807749627422,0.024874617955060352,0.17676294435352974,linear,small (≤45%)
K72r_2,3541,0.201,dry_high,turn,,0.16675945945945947,0.1073157645033943,0.10591740112994351,0.05944369495606516,-0.06084205832951596,linear,small (≤45%)
K72r_7,3511,0.201,dry_high,turn,,0.5293462414578588,0.35758676322002686,0.3317137813211845,0.17175947823783194,-0.1976324601366743,polarized,small (≤45%)
K72r_8,3514,1.694,dry_high,turn,,0.0004729237770193402,0.0004619020501138952,0.012472582480091013,1.1021726905444964e-05,0.011999658703071674,linear,big (≥85%)
K72r_A,3496,1.694,dry_high,turn,,0.00019085714285714287,6.473447880870562e-05,0.004401832760595647,0.00012612266404843725,0.004210975617738504,linear,big (≥85%)
K72r_K,3503,0.201,dry_high,turn,,0.12317565415244597,0.10428919188348879,0.13587808219178082,0.018886462268957183,0.012702428039334857,linear,small (≤45%)
K98r_2,3508,4.569,dry_high,turn,,0.00035062713797035346,0.0005149372862029647,0.026079361459521097,-0.00016431014823261122,0.025728734321550744,linear,big (≥85%)
K98r_7,3481,1.093,dry_high,turn,,0.0003685419058553387,0.0001661647333623659,0.0003697353279631761,0.00020237717249297282,1.1934221078373718e-06,linear,big (≥85%)
K98r_A,3466,1.093,dry_high,turn,,0.00014567474048442905,0.00023856812933025406,0.0004943483275663207,-9.289338884582501e-05,0.00034867358708189165,linear,big (≥85%)
K98r_K,3472,0.202,dry_high,turn,,0.032290229885057475,0.04987423099477556,0.059892511520737324,-0.017584001109718084,0.02760228163567985,linear,small (≤45%)
